market_entry,index,btc,eth,bch,xrp,ltc,ada,iota,dash,xem,xmr
2017-12-01,288.88,742.39,615.00,-69.89,705.34,-0.44,556.58,-80.03,-95.20,-89.97,0.40
2017-12-02,298.04,729.80,615.01,-69.63,705.02,-2.12,535.03,-79.82,-95.13,-90.58,-5.11
2017-12-03,270.39,722.86,627.36,-71.61,716.26,-1.84,551.21,-84.42,-94.98,-91.26,-3.12
2017-12-04,246.22,696.11,611.38,-71.89,712.99,-4.13,530.24,-89.32,-95.04,-91.55,-8.15
2017-12-05,225.85,660.85,619.36,-71.18,736.30,-5.99,554.50,-92.90,-94.93,-92.24,-30.57
2017-12-06,221.41,567.51,649.34,-67.52,774.27,1.55,566.00,-93.59,-94.70,-91.76,-30.72
2017-12-07,211.65,400.93,643.54,-68.80,823.03,-3.64,656.94,-93.52,-94.86,-90.30,-35.59
2017-12-08,212.59,447.83,618.03,-70.44,717.32,-21.52,617.31,-94.30,-94.83,-96.27,-32.07
2017-12-09,270.97,506.74,596.94,-69.41,742.07,-36.46,603.80,-93.75,-94.79,-94.65,-29.14
2017-12-10,240.95,485.93,652.09,-67.15,761.35,-34.46,675.72,-93.07,-94.49,-93.96,-24.41
2017-12-11,248.19,441.47,560.02,-69.17,720.67,-54.61,614.94,-93.30,-95.02,-95.20,-32.30
2017-12-12,297.60,436.97,407.60,-72.59,442.06,-69.09,543.19,-93.77,-95.77,-95.44,-38.03
2017-12-13,253.06,460.53,373.25,-72.72,330.24,-67.51,539.35,-92.79,-95.66,-95.41,-38.41
2017-12-14,245.10,449.22,376.78,-77.51,137.76,-64.28,295.89,-92.10,-95.99,-95.99,-42.60
2017-12-15,269.53,415.21,384.71,-75.90,170.42,-67.28,294.76,-92.63,-95.78,-95.99,-39.84
2017-12-16,276.35,371.02,378.40,-75.60,169.61,-67.03,110.47,-92.11,-96.15,-96.36,-42.17
2017-12-17,386.14,376.88,361.03,-76.39,182.00,-69.25,80.65,-92.31,-96.53,-96.50,-45.28
2017-12-18,370.72,382.73,320.93,-79.93,164.74,-72.50,69.49,-93.19,-96.76,-97.15,-49.65
2017-12-19,361.53,409.66,304.77,-84.49,159.51,-72.10,56.82,-94.52,-96.80,-97.46,-50.11
2017-12-20,346.21,442.95,313.02,-88.29,165.68,-68.02,74.51,-94.23,-97.42,-97.42,-60.57
2017-12-21,317.78,466.35,313.28,-86.13,77.44,-68.53,72.54,-94.12,-97.38,-97.63,-56.14
2017-12-22,361.83,557.64,401.96,-82.68,85.98,-62.08,107.21,-91.69,-96.85,-96.93,-45.27
2017-12-23,387.65,507.71,369.39,-85.70,74.75,-65.57,96.88,-92.66,-97.14,-97.44,-49.65
2017-12-24,391.40,540.97,389.58,-85.96,99.14,-64.38,111.27,-92.30,-96.88,-97.65,-45.62
2017-12-25,378.94,547.62,357.76,-84.40,83.57,-63.38,102.31,-91.87,-96.79,-97.64,-45.23
2017-12-26,380.03,457.44,333.98,-85.58,73.71,-66.38,91.02,-92.86,-96.89,-97.64,-49.59
2017-12-27,387.66,465.73,339.17,-84.47,46.24,-63.47,99.54,-92.49,-96.77,-97.54,-51.53
2017-12-28,378.63,514.73,355.94,-83.01,43.53,-60.96,100.03,-92.67,-96.65,-97.44,-48.41
2017-12-29,350.14,513.57,344.77,-83.77,-6.86,-60.02,57.55,-92.38,-96.61,-97.78,-48.15
2017-12-30,369.54,580.06,355.89,-81.23,-5.50,-55.60,26.61,-92.08,-96.40,-97.50,-42.17
2017-12-31,368.90,524.19,333.66,-82.53,-9.79,-58.25,11.92,-92.45,-96.44,-97.76,-46.09
2018-01-01,423.68,557.23,332.88,-81.74,-10.97,-56.96,14.99,-92.95,-96.38,-97.72,-46.64
2018-01-02,412.65,504.54,283.12,-83.13,-16.23,-61.11,6.40,-92.98,-96.77,-97.94,-49.39
2018-01-03,473.61,494.38,248.84,-83.15,-34.20,-60.01,-20.11,-93.16,-96.68,-98.65,-51.79
2018-01-04,507.27,479.78,243.36,-81.98,-36.13,-59.49,-27.15,-93.21,-96.73,-98.59,-54.08
2018-01-05,496.43,405.14,234.31,-82.63,-29.84,-60.97,-20.29,-92.80,-96.65,-98.55,-52.65
2018-01-06,544.78,404.96,219.34,-83.43,-33.47,-65.79,-21.45,-93.13,-96.84,-98.61,-53.24
2018-01-07,667.81,443.59,195.30,-83.17,-39.48,-64.45,-18.40,-93.18,-96.81,-98.70,-59.08
2018-01-08,619.19,482.55,183.52,-82.48,-16.00,-62.39,-8.79,-92.75,-96.60,-98.58,-54.72
2018-01-09,617.18,493.58,146.76,-82.56,-3.95,-61.66,-0.82,-92.24,-96.72,-98.49,-64.86
2018-01-10,583.34,497.24,149.67,-85.17,5.14,-60.92,5.23,-92.54,-96.61,-98.37,-58.13
2018-01-11,534.01,559.24,184.31,-82.69,6.37,-57.49,18.10,-91.65,-96.30,-98.21,-48.21
2018-01-12,509.94,527.59,155.36,-83.91,1.53,-59.71,-10.72,-92.49,-96.50,-98.38,-53.65
2018-01-13,543.88,509.66,131.98,-84.25,1.69,-63.04,-8.40,-92.96,-96.66,-98.45,-60.33
2018-01-14,508.22,539.84,138.26,-83.33,10.24,-59.97,2.05,-92.53,-96.33,-98.31,-54.25
2018-01-15,527.42,542.71,152.66,-82.43,23.37,-58.87,4.47,-92.08,-96.06,-98.33,-55.93
2018-01-16,473.55,690.07,214.38,-75.41,72.09,-47.65,34.61,-89.03,-94.96,-97.73,-41.42
2018-01-17,448.76,711.42,228.60,-75.15,59.29,-47.51,32.26,-89.56,-95.23,-97.65,-41.37
2018-01-18,434.50,700.62,224.25,-74.88,27.62,-49.07,27.97,-89.69,-95.41,-97.78,-42.42
2018-01-19,416.97,687.75,220.90,-75.40,33.42,-49.03,29.05,-89.40,-95.50,-97.82,-50.77
2018-01-20,442.61,598.53,186.42,-78.84,30.00,-53.74,17.05,-90.62,-95.95,-98.03,-54.55
2018-01-21,421.20,691.45,218.85,-75.37,48.90,-48.23,36.58,-89.71,-95.35,-97.75,-47.49
2018-01-22,411.40,742.71,235.82,-72.88,57.71,-44.87,47.78,-88.27,-94.98,-97.58,-40.08
2018-01-23,507.18,750.26,238.77,-72.72,53.22,-44.29,52.10,-88.58,-94.94,-97.43,-38.39
2018-01-24,485.18,721.37,217.87,-72.95,54.28,-44.58,37.49,-88.18,-95.09,-97.49,-41.12
2018-01-25,471.91,725.17,217.14,-73.02,57.04,-44.61,34.32,-87.87,-95.15,-97.44,-39.91
2018-01-26,503.45,738.64,220.32,-72.09,69.51,-43.34,38.44,-87.83,-95.04,-97.05,-41.29
2018-01-27,489.81,708.53,206.59,-72.96,67.05,-44.79,37.36,-88.35,-95.04,-97.73,-41.70
2018-01-28,471.06,694.01,171.51,-74.50,45.18,-48.32,36.25,-88.64,-95.26,-97.59,-42.24
2018-01-29,461.34,730.17,187.23,-73.02,55.85,-44.68,45.01,-88.71,-94.96,-97.37,-39.66
2018-01-30,486.55,734.84,189.14,-72.82,56.73,-44.18,46.12,-88.47,-94.93,-97.35,-39.38
2018-01-31,460.87,827.23,217.51,-69.51,80.82,-39.35,71.24,-86.96,-94.29,-96.84,-30.35
